pedlabsampnum,observation_date,date,ca_nh4_ph_7,mg_nh4_ph_7,na_nh4_ph_7,k_nh4_ph_7,exchangeable_sodium,cec7_clay_ratio,cec_nh4_ph_7,ph_cacl2,latitude_std_decimal_degrees,longitude_std_decimal_degrees
65-OK-7-50,41898.0,2014-09-16,4.0,0.9,0.1,0.3,3.0,0.67,4.0,,33.7547721862793,-96.3786392211914
65-OK-7-50,41898.0,2014-09-16,5.0,1.1,0.1,0.3,2.0,0.46,5.0,,33.7547721862793,-96.3786392211914
65-OK-7-50,41898.0,2014-09-16,5.6,1.4,0.2,0.3,4.0,0.37,5.6,,33.7547721862793,-96.3786392211914
65-OK-7-50,41898.0,2014-09-16,6.8,1.47,0.1,0.3,1.0,0.4,6.8,,33.7547721862793,-96.37863922119148
18N2838,43320.0,2018-08-08,7.52,2.69,0.07,0.31,,,19.2,4.4,41.2384262084961,-106.230751037598
18N2838,43320.0,2018-08-08,7.52,2.69,0.07,0.31,,,19.2,4.4,41.2384262084961,-106.230751037598
18N2838,43320.0,2018-08-08,11.47,3.49,0.07,0.39,,,21.1,4.5,41.2384262084961,-106.230751037598
18N2838,43320.0,2018-08-08,11.47,3.49,0.07,0.39,,,21.1,4.5,41.2384262084961,-106.230751037598
19N0097,43347.0,2018-09-04,1.49,0.71,0.04,0.09,,,2.9,4.6,29.7365550994873,-96.2211074829102
19N0097,43347.0,2018-09-04,1.82,0.7,0.08,0.05,,,2.8,4.8,29.7365550994873,-96.2211074829102
19N0097,43347.0,2018-09-04,1.66,0.78,0.14,0.06,,,2.9,4.6,29.7365550994873,-96.2211074829102
19N0097,43347.0,2018-09-04,5.11,3.04,0.89,0.18,,,12.3,4.5,29.7365550994873,-96.2211074829102
19N0097,43347.0,2018-09-04,5.11,3.04,0.89,0.18,,,12.3,4.5,29.7365550994873,-96.2211074829102
19N0097,43347.0,2018-09-04,5.11,3.04,0.89,0.18,,,12.3,4.5,29.7365550994873,-96.2211074829102
19N0097,43347.0,2018-09-04,5.01,3.57,1.31,0.18,,,11.3,5.2,29.7365550994873,-96.2211074829102
19N0097,43347.0,2018-09-04,5.01,3.57,1.31,0.18,,,11.3,5.2,29.7365550994873,-96.2211074829102
19N0097,43347.0,2018-09-04,5.01,3.12,1.32,0.17,,,9.5,5.6,29.7365550994873,-96.2211074829102
19N0098,43363.0,2018-09-20,0.84,0.26,0.02,0.07,,,1.1,4.7,29.7366943359375,-96.2203903198242
19N0098,43363.0,2018-09-20,0.32,0.07,0.02,0.02,,,0.8,4.2,29.7366943359375,-96.2203903198242
19N0098,43363.0,2018-09-20,0.23,0.0,0.02,0.01,,,0.3,4.2,29.7366943359375,-96.2203903198242
19N0098,43363.0,2018-09-20,0.22,0.0,0.0,0.02,,,0.0,4.4,29.7366943359375,-96.2203903198242
